"advertiser_id","advertiser_name","advertisers_with_eligible_prices","arrival","best_price_amount","best_price_currency","best_price_eurocents","cheapest_price","city","construction_year","country","departure","distance_info","forecasted_price_amount","forecasted_price_eurocents","has_special_offer","highlights","hotel_category","hotel_id","hotel_name","latitude","longitude","review_count","star_rating","user_rating"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.1 miles to Trafalgar Square","112","13079",,"Modern fitness studio, Historic Victorian landmark setting",,"100/1440039","The Grand at Trafalgar Square","51.506980895996094","-0.12600000202655792","10761","4","8.6"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to Trafalgar Square","176","20459",,"Platform 7 terrace restaurant, Historic Grade II-listed Victorian architecture",,"100/48082","The Clermont London, Charing Cross","51.5084114074707","-0.12473999708890915","18270","4","9.2"
,,"22","2026-09-19",,,,,"London","2006",,"2026-09-20","0.1 miles to Trafalgar Square","126","14686",,"Authentic Neapolitan 50 Kalò pizzeria, Victorian aristocratic mansion heritage",,"100/1415143","Club Quarters Hotel Trafalgar Square, London","51.506988525390625","-0.12601999938488007","13255","4","8.7"
,,"10","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to City centre","114","13233",,"Quiet sanctuary in the city center, Innovative loft-style family rooms",,"100/43762974","Moxy London Piccadilly Circus","51.509639739990234","-0.133760005235672","2014","3","8.1"
,,"21","2026-09-19",,,,,"London","1899",,"2026-09-20","0.4 miles to Trafalgar Square","563","65483",,"Iconic River Thames panoramas, Heated indoor swimming pool",,"100/12715","The Savoy","51.51015090942383","-0.12052000313997269","21581","5","9.5"
,,"24","2026-09-19",,,,,"London","2018",,"2026-09-20","0.3 miles to City centre","98","11460",,"Oscar Wilde-inspired creative concept, Central transport hub proximity",,"100/7180736","Wilde Aparthotels, London, Covent Garden","51.50983810424805","-0.12218999862670898","9787","4","9.2"
,,"10","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to City centre","69","8030",,"Smart-tech compact room design, Quiet urban retreat",,"100/8753000","hub by Premier Inn London Westminster Abbey hotel","51.49953842163086","-0.1315300017595291","12675","3","9.0"
,,"22","2026-09-19",,,,,"London","1995",,"2026-09-20","0.2 miles to Trafalgar Square","119","13800",,"Excellent public transport links, Historic Victorian architecture",,"100/12763","Citadines Trafalgar Square London","51.507171630859375","-0.12466000020503998","15698","4","8.3"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Trafalgar Square","50","5818",,"Panoramic ninth floor city views, Family-friendly stay policy",,"100/46305","Travelodge London Covent Garden","51.515708923339844","-0.12415000051259995","34489","3","7.7"
,,"9","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to City centre","67","7797",,"Smart-room touchscreen technology, Covent Garden district exploration",,"100/7793248","hub by Premier Inn London Covent Garden hotel","51.510040283203125","-0.12711000442504883","12900","3","8.6"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Big Ben","72","8413",,"Thyme restaurant and bar, Historic Grade II listed building",,"100/222066","Premier Inn London County Hall","51.502498626708984","-0.11806999891996384","27908","3","8.7"
,,"25","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to City centre","288","33479",,"Japanese-inspired rooftop lounge, Subterranean wellness at The Retreat",,"100/19679036","The Londoner Hotel","51.50986099243164","-0.1302099972963333","9551","5","9.2"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to City centre","73","8469",,"Modern West End urban retreat, Leicester Square theatre district access",,"100/42784476","The Z Hotel Leicester Square","51.50973129272461","-0.1285800039768219","2148","3","8.8"
,,"20","2026-09-19",,,,,"London","2016",,"2026-09-20","0.3 miles to City centre","91","10536",,"Front-row film premiere views, Art deco inspired bistro and bar",,"100/6475130","Victory House Leicester Square","51.51123046875","-0.1300099939107895","6067","4","7.9"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.1 miles to City centre","230","26721",,"Ekstedt at The Yard restaurant, Historic Metropolitan Police headquarters",,"100/16162336","Great Scotland Yard Hotel, part of Hyatt","51.50627899169922","-0.12625999748706818","2711","5","9.0"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to City centre","76","8812",,"Meradora rooftop restaurant, Urban-inspired West End base",,"100/10035100","Assembly Leicester Square","51.5106315612793","-0.12863999605178833","8926","3","8.1"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to Trafalgar Square","187","21737",,"Indoor swimming pool and health club, Madhu’s of Mayfair Indian dining",,"100/16160","The Dilly","51.509429931640625","-0.13628999888896942","21088","5","8.2"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.1 miles to Trafalgar Square","140","16250",,"Theatreland and gallery proximity, Personalized service at the lounge bar",,"100/47787","Thistle Trafalgar - Leicester Square","51.50910186767578","-0.13012999296188354","8326","4","8.3"
,,"25","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Trafalgar Square","82","9514",,"Tranquil garden views, Access to Ajala Spa",,"100/129815","Grange Portland Hotel","51.520050048828125","-0.12442000210285187","1137","4","8.0"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Buckingham Palace","484","56315",,"Art of Dining culinary program, Intimate 1930s Fumoir bar",,"100/48022","Claridge's","51.512420654296875","-0.14786000549793243","8810","5","9.4"
,,"24","2026-09-19",,,,,"London","2016",,"2026-09-20","0.5 miles to City centre","100","11668",,"Boutique Soho heritage concept, Compact and windowless room options",,"100/6167832","Mimi's Hotel Soho","51.514068603515625","-0.13199999928474426","5976","4","8.1"
,,"19","2026-09-19",,,,,"London","1973",,"2026-09-20","0.6 miles to Trafalgar Square","65","7574",,"Panoramic rooftop city views, Diverse on-site dining trio",,"100/12694","STG Hotel Oxford Street","51.51752853393555","-0.1306000053882599","41321","3","7.0"
,,"15","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to City centre","67","7778",,"Charing Cross transport connection, Accessible ground floor rooms",,"100/19039176","The Z Hotel Trafalgar","51.509979248046875","-0.12538999319076538","11856","3","8.5"
,,"23","2026-09-19",,,,,"London","1974",,"2026-09-20","1.1 miles to Trafalgar Square","65","7554",,"Traditional British London Pub, On-site Bloomsbury Bowling Lanes",,"100/12693","Royal National Hotel","51.523460388183594","-0.12732000648975372","43722","3","7.5"
,,"21","2026-09-19",,,,,"London","2010",,"2026-09-20","0.3 miles to Big Ben","126","14661",,"Iconic Big Ben and Thames views, Mandara Spa and 15-meter pool",,"100/1321090","Park Plaza Westminster Bridge Hotel","51.500999450683594","-0.1168999969959259","70248","4","8.7"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Trafalgar Square","124","14413",,"Comprehensive wellness facilities, Luxury four poster suites",,"100/12636","Montcalm Piccadilly Townhouse, London West End","51.51218032836914","-0.13186000287532806","9407","5","8.9"
,,"22","2026-09-19",,,,,"London","1999",,"2026-09-20","0.2 miles to Trafalgar Square","200","23279",,"Floor-to-ceiling city windows, EllaMia London gourmet eatery",,"100/12712","St Martins Lane London","51.510459899902344","-0.12669000029563904","11858","5","9.0"
,,"0","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to City centre",,,,"",,"100/41997814","Zedwell Capsule Hotel Piccadilly Circus","51.510250091552734","-0.13422000408172607","14678",,"7.5"
,,"23","2026-09-19",,,,,"Westminster",,,"2026-09-20","Westminster, 1.1 miles to London","159","18534",,"Upper-floor London skyline views, Innovative windowless basement rooms",,"100/30375040","Hotel Riu Plaza London Victoria","51.49441146850586","-0.1420699954032898","23348","4","8.8"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to Trafalgar Square","705","82094",,"Michelin-starred Kerridge's Bar & Grill, Historic Ministry of Defence setting",,"100/1535559","Corinthia London","51.5064582824707","-0.12431000173091888","9388","5","9.5"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to City centre","157","18315",,"Mediterranean-inspired Arado Restaurant, Twenty-four hour fitness studio",,"100/8238210","Meliá White House Apartments","51.52482986450195","-0.14372000098228455","750","4","7.4"
,,"19","2026-09-19",,,,,"London","1901",,"2026-09-20","0.2 miles to Trafalgar Square","176","20429",,"Leicester Square red carpet views, Leicester Square Kitchen dining",,"100/12652","Radisson Blu Hotel, London Leicester Square","51.50986862182617","-0.12976999580860138","10153","5","8.5"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.1 miles to Trafalgar Square","238","27721",,"The Rooftop year-round terrace, Art Deco inspired interior design",,"100/47175","The Trafalgar St. James London, Curio Collection by Hilton","51.507320404052734","-0.12913000583648682","5728","5","9.3"
,,"17","2026-09-19",,,,,"London","2003",,"2026-09-20","0.5 miles to Big Ben","163","18984",,"Ian Fleming-inspired boutique concept, Thames River view fitness centre",,"100/18427","Hotel Riu Plaza London The Westminster","51.49332809448242","-0.12703999876976013","14131","4","8.8"
,,"23","2026-09-19",,,,,"London","1890",,"2026-09-20","0.2 miles to Trafalgar Square","135","15747",,"Victorian charm in the West End, Modern fitness studio",,"100/48066","Thistle London Piccadilly","51.51021957397461","-0.13152000308036804","7451","4","8.4"
,,"16","2026-09-19",,,,,"London","2014",,"2026-09-20","0.2 miles to Trafalgar Square","67","7814",,"The Z Cafe 24-hour service, Piccadilly Circus transport hub",,"100/3167038","The Z Hotel Piccadilly","51.509029388427734","-0.13138000667095184","14171","3","8.3"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Trafalgar Square","89","10355",,"Russell Square garden views, Traditional English carvery restaurant",,"100/12688","President Hotel","51.52220153808594","-0.1240599974989891","25427","3","8.0"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to City centre","224","26099",,"Covent Garden Piazza proximity, Bespoke local recommendations",,"100/10767844","The Resident Covent Garden","51.5098991394043","-0.12347999960184097","5590","4","9.7"
,,"3","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to City centre","144","16793",,"Bloomsbury Group inspired design, Fully equipped fitness studio",,"100/23054170","Charlotte Street Rooms by News Hotel","51.51839828491211","-0.1348699927330017","2324","3","9.0"
,,"3","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to Hyde Park","52","6060",,"",,"100/1113380","Bluedaws Private Hotel","51.51517868041992","-0.17204999923706055","83","3","8.4"
,,"16","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to City centre","76","8866",,"Unique family loft rooms, Efficient windowless room options",,"100/10236534","The Z Hotel Covent Garden","51.511009216308594","-0.1244800016283989","9547","3","8.2"
,,"21","2026-09-19",,,,,"London","1904",,"2026-09-20","0.4 miles to Trafalgar Square","253","29483",,"Senior concierge expertise, Boutique Seven Dials retreat",,"100/12648","Radisson Blu Hotel, London Mercer Street","51.51390838623047","-0.12711000442504883","11135","4","8.9"
,,"21","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to Buckingham Palace","156","18192",,"The Soak restaurant and bar, Modern wellness and fitness studio",,"100/98778","The Clermont London, Victoria","51.495689392089844","-0.14534999430179596","15809","4","8.9"
,,"4","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to Tower Bridge","133","15466",,"Seasonal university residence concept, Prime Bankside cultural location",,"100/1076152","LSE Bankside House","51.5063591003418","-0.09860999882221222","10631","2","8.1"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.1 miles to City centre","161","18776",,"Trafalgar Square rooftop dining, Urban explorer lifestyle concept",,"100/15728896","Page8, Page Hotels","51.50931167602539","-0.12682999670505524","7029","4","9.4"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Big Ben","68","7930",,"Panoramic skyscraper city views, Thyme restaurant and bar",,"100/2632386","Premier Inn London Waterloo - York Road","51.501888275146484","-0.11657000333070755","15077","3","8.5"
,,"9","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to Trafalgar Square","79","9194",,"Leicester Square pedestrian access, Convenient luggage storage service",,"100/2144680","Premier Inn London Leicester Square","51.51103973388672","-0.13030000030994415","8996","3","8.4"
,,"18","2026-09-19",,,,,"London","1908",,"2026-09-20","0.5 miles to Trafalgar Square","207","24064",,"Homage Grand Salon dining, The Wild Monkey bar",,"100/12640","The Waldorf Hilton, London","51.51253890991211","-0.11897999793291092","14182","4","8.4"
,,"23","2026-09-19",,,,,"London","2008",,"2026-09-20","0.4 miles to Big Ben","121","14052",,"Iconic South Bank landmark views, Authentic Italian mezzanine dining",,"100/880913","Park Plaza County Hall London","51.501399993896484","-0.11630000174045563","20419","4","8.8"
,,"23","2026-09-19",,,,,"London","2014",,"2026-09-20","0.3 miles to Tower Bridge","287","33346",,"GŎNG cocktail and champagne bar, Sky-high infinity pool",,"100/2498036","Shangri-La The Shard, London","51.504310607910156","-0.08677999675273895","13727","5","9.4"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","1.5 miles to Trafalgar Square","40","4654",,"Secure on-site parking, Central King's Cross hub access",,"100/46296","Travelodge London Kings Cross Royal Scot","51.52935028076172","-0.11552999913692474","16852","3","7.2"
,,"12","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to City centre","73","8547",,"Compact and efficient pod concept, Charing Cross transport proximity",,"100/24549232","The Z Hotel Strand","51.510009765625","-0.12301000207662582","10513","3","8.6"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to Buckingham Palace","678","78938",,"Michelin-starred Pavyllon London, Rooftop spa with panoramic views",,"100/47136","Four Seasons Hotel London at Park Lane","51.504459381103516","-0.15000000596046448","3964","5","9.4"
,,"23","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Trafalgar Square","70","8115",,"Tavistock Square Garden views, Award-winning Poppadom Indian Kitchen",,"100/12671","The Tavistock Hotel","51.52436065673828","-0.12824000418186188","24977","3","8.0"
,,"16","2026-09-19",,,,,"London","2010",,"2026-09-20","0.7 miles to Big Ben","40","4654",,"Spacious family-friendly accommodations, Waterloo transport hub access",,"100/1535885","Travelodge London Central Waterloo","51.50035858154297","-0.10745000094175339","8458","3","8.1"
,,"23","2026-09-19",,,,,"London","2005",,"2026-09-20","0.6 miles to Big Ben","112","13033",,"Indoor pool and thermal suite, Signature dim sum masterclass",,"100/47101","Park Plaza London Riverbank","51.49148178100586","-0.12217999994754791","32080","4","8.6"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Buckingham Palace","77","8991",,"Flexible multi-guest room options, Authentic London townhouse architecture",,"100/46964","Stanley House Hotel","51.49222183227539","-0.1415500044822693","5665","1","6.2"
,,"17","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to City centre","44","5124",,"Subterranean sanctuary concept, Central Bloomsbury location",,"100/33627074","Zedwell Underground Hotel Tottenham Court Rd","51.517391204833984","-0.13018999993801117","13408","3","7.4"
,,"2","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to City centre","109","12685",,"Essential city planning details, Bloomsbury cultural district access",,"100/30654218","Bedford Place Hostels","51.520729064941406","-0.12460999935865402","1473","1","7.0"
,,"24","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to Buckingham Palace","172","20038",,"Authentic Indian and African fusion, Bespoke royal-themed guest rooms",,"100/47164","Rubens At The Palace","51.498268127441406","-0.14350000023841858","12085","5","9.1"
,,"22","2026-09-19",,,,,"London","2002",,"2026-09-20","0.2 miles to Trafalgar Square","244","28435",,"Michelin-starred Wild Honey St James, Pierre-Yves Rochon interior design",,"100/46461","Sofitel London St James","51.50762939453125","-0.13233999907970428","5378","5","9.4"
,,"4","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Trafalgar Square","111","12957",,"Central London transport links, Triple and family room options",,"100/149109","Seven Dials Hotel","51.51485061645508","-0.12672999501228333","4829","1","7.7"
,,"25","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Trafalgar Square","239","27764",,"Luxury Studio Suites, 24-hour fitness studio",,"100/12643","The Bloomsbury Hotel","51.517250061035156","-0.12894999980926514","10137","5","9.3"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Trafalgar Square","114","13309",,"Unique split-level rooms, Royal Opera House proximity",,"100/1134615","The Fielding Hotel","51.51393127441406","-0.12199000269174576","5443","4","8.2"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to City centre","138","16073",,"Rooftop bar with skyline views, Innovative Israeli-Spanish fusion dining",,"100/27103484","Hotel AMANO Covent Garden","51.51369094848633","-0.12037999927997589","10790","4","8.5"
,,"21","2026-09-19",,,,,"London","2016",,"2026-09-20","0.9 miles to City centre","102","11821",,"Upper floor city panoramas, Indoor pool with mood lighting",,"100/5806508","Park Plaza London Waterloo","51.49824142456055","-0.11354999989271164","28033","4","8.5"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Trafalgar Square","128","14898",,"Kingsley Two Brasserie, Holborn transport connections",,"100/48073","Thistle London Holborn","51.5177116394043","-0.12424000352621078","9791","4","8.5"
,,"24","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Trafalgar Square","70","8106",,"Individually designed bedrooms, Central Bloomsbury transport links",,"100/152896","Grange Clarendon Hotel","51.51979064941406","-0.12417999655008316","4166","4","7.5"
,,"18","2026-09-19",,,,,"London","2017",,"2026-09-20","0.3 miles to City centre","130","15129",,"Leicester Square balcony rooms, Theatrical art deco design",,"100/8957908","Hotel Indigo London - 1 Leicester Square By Ihg","51.51081848144531","-0.13075000047683716","4905","4","7.8"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Buckingham Palace","34","3982",,"Private balcony guestrooms, Victorian townhouse architecture",,"100/18372","Huttons Hotel, Victoria London","51.49066162109375","-0.1383800059556961","6533","3","7.1"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to Buckingham Palace","192","22331",,"Intimate boutique wellness spa, Exclusive tenth-floor View lounge",,"100/47917","The Athenaeum Hotel & Residences","51.50471115112305","-0.14746999740600586","7809","5","9.0"
,,"23","2026-09-19",,,,,"London","1995",,"2026-09-20","0.5 miles to Big Ben","94","10937",,"London skyline guestroom views, International dining at Elements",,"100/47158","Novotel London Waterloo","51.494651794433594","-0.11868000030517578","11770","4","8.4"
,,"24","2026-09-19",,,,,"London","2014",,"2026-09-20","0.9 miles to Trafalgar Square","169","19663",,"Bespoke Curzon cinema, Nautical-inspired Tom Dixon design",,"100/3218556","Sea Containers London","51.508399963378906","-0.10664000362157822","22151","5","9.1"
,,"2","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to City centre","81","9392",,"",,"100/51469744","Cheap private double room near Big Ben - with desk","51.4952507019043","-0.13172000646591187","10","4","7.3"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.4 miles to Big Ben","224","26121",,"Modern British dining at The Pem, Fairy-tale forest themed kids' room",,"100/2051857","Conrad London St. James","51.49945068359375","-0.13291999697685242","10838","5","9.3"
,,"9","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to City centre","68","7959",,"Smart room control system, Westminster landmark proximity",,"100/7399146","hub by Premier Inn London Westminster, St James's Park hotel","51.499000549316406","-0.13262000679969788","8392","3","9.0"
,,"4","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to City centre","128","14925",,"London Eye skyline views, Leake Street Arches exploration",,"100/20693022","NOX Waterloo","51.50080108642578","-0.11259999871253967","8010","4","8.8"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","0.2 miles to City centre","624","72671",,"Rooftop Japanese restaurant, Espionage-themed fine dining",,"100/31755030","Raffles London at The OWO","51.5051383972168","-0.12567000091075897","1587","5","9.4"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to Big Ben","97","11317",,"Panoramic London Eye views, Modern fitness studio",,"100/3114706","Hampton by Hilton London Waterloo","51.500850677490234","-0.10801000148057938","15232","3","8.5"
,,"22","2026-09-19",,,,,"London",,,"2026-09-20","0.9 miles to Trafalgar Square","84","9824",,"Botanica restaurant and terrace, Quiet garden-facing guest rooms",,"100/12674","Bedford Hotel","51.52070999145508","-0.12352000176906586","8046","4","8.4"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","1.3 miles to Trafalgar Square","69","7990",,"Woburn Place conservatory dining, Modern fitness center with Peloton",,"100/97790","Hilton London Euston","51.5265007019043","-0.13012999296188354","7328","4","7.3"
,,"16","2026-09-19",,,,,"London","2011",,"2026-09-20","0.4 miles to Trafalgar Square","63","7336",,"Multi-story private townhouses, Soho and Covent Garden proximity",,"100/2048805","The Z Hotel Soho","51.513580322265625","-0.12966999411582947","9652","3","7.7"
,,"0","2026-09-19",,,,,"London",,,"2026-09-20","1.2 miles to Trafalgar Square",,,,"Historic Georgian student residence, Social games and TV rooms",,"100/1251680","LSE Passfield Hall","51.52524185180664","-0.13079999387264252","5811","2","7.9"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.7 miles to City centre","191","22195",,"Sycamore Vino Cucina restaurant, Contemporary lifestyle luxury concept",,"100/20993160","Middle Eight","51.515899658203125","-0.1200999990105629","8000","5","9.0"
,,"1","2026-09-19",,,,,"London",,,"2026-09-20","1.4 miles to City centre","40","4654",,"Panoramic London skyline views, Contemporary Ceramic Building design",,"100/8255044","Travelodge London Central Elephant and Castle","51.497310638427734","-0.09839999675750732","2442",,"8.2"
,,"25","2026-09-19",,,,,"London",,,"2026-09-20","0.8 miles to Trafalgar Square","82","9514",,"Health club and spa access, Historic Georgian townhouse charm",,"100/129814","Grange Buckingham Hotel","51.51955032348633","-0.1238899976015091","1357","4","7.8"
,,"21","2026-09-19",,,,,"London","2017",,"2026-09-20","0.8 miles to City centre","81","9407",,"Panoramic city view rooms, On-site fitness studio",,"100/6537442","Marlin Waterloo","51.499168395996094","-0.11332999914884567","18396","4","8.6"
,,"20","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to City centre","132","15337",,"River Thames skyline panoramas, POTUS American-themed dining",,"100/7118430","Hyatt Regency London Albert Embankment","51.491878509521484","-0.12128999829292297","3938","4","8.9"
,,"17","2026-09-19",,,,,"London","1969",,"2026-09-20","1.4 miles to Tower Bridge","43","5003",,"Customizable quiet room selection, Old Street transport links",,"100/664366","Travelodge London Central City Road","51.522621154785156","-0.08696000277996063","12372","3","7.7"
,,"23","2026-09-19",,,,,"London","2010",,"2026-09-20","0.8 miles to Big Ben","102","11929",,"Waterloo Sky Bar rooftop, Mediterranean dining at Three O Two",,"100/1325285","H10 London Waterloo","51.49892044067383","-0.10633999854326248","12087","4","8.8"
,,"20","2026-09-19",,,,,"London","2009",,"2026-09-20","0.5 miles to Trafalgar Square","139","16173",,"Private basement cinema room, Rock and roll boutique concept",,"100/742701","Karma Sanctum Soho","51.511619567871094","-0.13835999369621277","4204","5","8.3"
,,"14","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to City centre","86","9953",,"Seamless contactless check-in experience, Family-friendly dining at Blooms Pizza Cafe",,"100/31594384","City Sleeper At Royal National","51.52341842651367","-0.1274300068616867","6980","4","8.4"
,,"18","2026-09-19",,,,,"London",,,"2026-09-20","0.6 miles to Big Ben","103","12039",,"London-themed guest rooms, Walkable access to iconic landmarks",,"100/3119605","The Wellington Hotel","51.503761291503906","-0.11139000207185745","3922","3","8.0"
,,"4","2026-09-19",,,,,"London",,,"2026-09-20","0.3 miles to City centre","133","15478",,"Views of the London Eye, Family-friendly accommodations",,"100/18158710","15 New Row","51.51121139526367","-0.1256600022315979","447",,"7.3"
,,"26","2026-09-19",,,,,"London",,,"2026-09-20","1.1 miles to Hyde Park","226","26362",,"Eighteen-meter indoor swimming pool, Chic Marylebone village identity",,"100/47602","The Marylebone","51.51797866821289","-0.14993000030517578","9946","5","9.1"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","1.0 miles to City centre","69","8030",,"Modern Bar and Block steakhouse, Atmospheric purple LED lighting",,"100/23813180","Premier Inn London Southwark (Southwark Station) Hotel","51.50270080566406","-0.10608000308275223","2741","3","8.9"
,,"8","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to City centre","67","7797",,"Smart-room technology controls, Walkable West End theatre access",,"100/15478478","hub by Premier Inn London Soho hotel","51.513118743896484","-0.1349799931049347","1713","3","8.5"
,,"17","2026-09-19",,,,,"London","2012",,"2026-09-20","0.4 miles to Buckingham Palace","58","6751",,"Compact luxury room concept, Belgravia district exploration",,"100/2254426","The Z Hotel Victoria","51.495689392089844","-0.1462399959564209","13518","3","8.1"
,,"18","2026-09-19",,,,,"London","1910",,"2026-09-20","0.7 miles to Trafalgar Square","139","16176",,"Dedicated concierge and luggage service, Historic Edwardian facade",,"100/12646","Radisson Blu Hotel, London Tottenham Court Road","51.517921447753906","-0.12817999720573425","12033","4","7.8"
,,"19","2026-09-19",,,,,"London",,,"2026-09-20","0.5 miles to Buckingham Palace","265","30850",,"Shanghai Me rooftop dining, Iconic Mayfair skyscraper heritage",,"100/48062","London Hilton on Park Lane","51.50550842285156","-0.15038999915122986","14115","5","8.5"
